epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,26351.8,0.29438,1.06502,1.0723,0.33068,1,0.44713,0.39885,0.5116,1.1038,1.04423,0.000712282,0.000712282,0.000712282
86,26661.5,0.28385,1.06419,1.06085,0.33703,0.97701,0.47115,0.42215,0.51185,1.09677,1.02918,0.000639518,0.000639518,0.000639518
87,26970.3,0.27959,1.06412,1.06466,0.33569,0.95402,0.47925,0.42782,0.51564,1.09466,1.04486,0.000571106,0.000571106,0.000571106
88,27279.1,0.28097,1.05745,1.05519,0.33091,0.98851,0.47898,0.43436,0.48929,1.10135,1.02693,0.000507115,0.000507115,0.000507115
89,27586.9,0.28071,1.05716,1.05526,0.34061,0.93103,0.4847,0.44183,0.49188,1.0926,1.03596,0.000447606,0.000447606,0.000447606
90,27898.9,0.27275,1.05398,1.05063,0.36529,0.90468,0.49276,0.44273,0.51228,1.08227,1.05191,0.00039264,0.00039264,0.00039264
91,28206.4,0.22452,1.06662,1.11196,0.33785,0.93103,0.49946,0.45529,0.49583,1.09068,1.04039,0.00034227,0.00034227,0.00034227
92,28515,0.18607,1.00743,1.0803,0.35757,0.90672,0.52304,0.47245,0.5102,1.08981,1.07107,0.000296546,0.000296546,0.000296546
93,28822.4,0.18878,0.98893,1.06949,0.36975,0.89655,0.50489,0.44892,0.53742,1.08692,1.09886,0.000255513,0.000255513,0.000255513
94,29128.8,0.18594,0.98153,1.06381,0.39066,0.83643,0.52826,0.47503,0.51335,1.08523,1.07416,0.000219212,0.000219212,0.000219212
95,29434.5,0.17962,0.98314,1.0662,0.41255,0.82281,0.54675,0.49024,0.50366,1.08268,1.06223,0.000187678,0.000187678,0.000187678
96,29739.1,0.18291,0.97886,1.06383,0.36382,0.86792,0.51982,0.466,0.50051,1.07973,1.05958,0.000160943,0.000160943,0.000160943
97,30044.7,0.17611,0.98031,1.06046,0.39397,0.84118,0.50252,0.44919,0.50601,1.07864,1.0639,0.000139032,0.000139032,0.000139032
98,30349,0.16994,0.97423,1.07087,0.40445,0.79857,0.56828,0.51072,0.49634,1.06946,1.04688,0.000121968,0.000121968,0.000121968
99,30655.4,0.17183,0.97656,1.05736,0.42681,0.83066,0.55606,0.50028,0.49807,1.06606,1.04342,0.000109768,0.000109768,0.000109768
100,30963.6,0.18236,0.97755,1.0567,0.42421,0.839,0.53575,0.4781,0.49163,1.06006,1.03703,0.000102443,0.000102443,0.000102443
